study_id,table_id,column_id,of_variable,is_type,with_entry,information_from,has_status,note
ISCN3,layer,silt_tot_psa (percent),silt,value,--,metadata,alpha,
ISCN3,layer,silt_tot_psa (percent),silt,method,Percent by weight of soil particles in the size range from 0.002 to 0.050 mm in the sample remaining after removal of particles greater than 2 mm and roots greater than 1 cm diameter,metadata,alpha,
ISCN3,layer,silt_tot_psa (percent),silt,unit,percent by weight,metadata,alpha,
ISCN3,layer,clay_tot_psa (percent),clay,description,Percent by weight of soil particles less than 0.002 mm in the sample remaining after removal of particles greater than 2 mm and roots greater than 1 cm diameter,metadata,alpha,
ISCN3,layer,clay_tot_psa (percent),clay,value,,metadata,alpha,
ISCN3,layer,clay_tot_psa (percent),clay,description,Percent by weight of soil particles less than 0.002 mm in the sample remaining after removal of particles greater than 2 mm and roots greater than 1 cm diameter,metadata,alpha,
ISCN3,layer,clay_tot_psa (percent),clay,unit,percent by weight,metadata,alpha,
ISCN3,layer,wpg2_method,coarse_fragment,description,Method used to determine coarse fragment content,metadata,alpha,
ISCN3,layer,wpg2_method,coarse_fragment,method,--,metadata,alpha,
ISCN3,layer,wpg2 (percent),coarse_fragment,description,Weight fraction of particles with >2 mm diameter reported as a gravimetric percent on a whole soil base,metadata,alpha,
ISCN3,layer,wpg2 (percent),coarse_fragment,value,--,metadata,alpha,
ISCN3,layer,wpg2 (percent),coarse_fragment,unit,percent by weight,metadata,alpha,
ISCN3,layer,cat_exch (cmol H+ kg-1),cation_exchange,description,Cation exchange capacity per mass of soil,metadata,alpha,check fine earth vs whole soil
ISCN3,layer,cat_exch (cmol H+ kg-1),cation_exchange,value,--,metadata,alpha,ideally also add a method
ISCN3,layer,cat_exch (cmol H+ kg-1),cation_exchange,unit,cmol H+ kg-1 soil,metadata,alpha,
ISCN3,layer,al_dith (specified by al_fe_units),aluminum_dithionate,description,Dithionate extractable [Al],metadata,alpha,
ISCN3,layer,al_dith (specified by al_fe_units),aluminum_dithionate,value,--,metadata,alpha,
ISCN3,layer,al_dith (specified by al_fe_units),aluminum_dithionate,method,Dithionate extraction with (likely) elemental analyizer,metadata,alpha,
ISCN3,layer,al_fe_units (extract_units),aluminum_dithionate,unit,--,metadata,alpha,"testing out how control vocabularies are used, this might break"
ISCN3,layer,al_fe_method,aluminum_dithionate,method,--,metadata,alpha,
ISCN3,layer,al_ox (specified by al_fe_units),aluminum_oxalate,description,Oxalate extractable [Al],metadata,alpha,
ISCN3,layer,al_ox (specified by al_fe_units),aluminum_oxalate,value,--,metadata,alpha,
ISCN3,layer,al_ox (specified by al_fe_units),aluminum_oxalate,method,Oxalate extraction with (likely) elemental analyizer,metadata,alpha,
ISCN3,layer,al_fe_units (extract_units),aluminum_oxalate,unit,--,metadata,alpha,"testing out how control vocabularies are used, this might break"
ISCN3,layer,al_fe_method,aluminum_oxalate,method,--,metadata,alpha,
ISCN3,layer,al_other (specified by al_fe_units),aluminum_other,description,Other extractable [Al],metadata,alpha,
ISCN3,layer,al_other (specified by al_fe_units),aluminum_other,value,--,metadata,alpha,
ISCN3,layer,al_other (specified by al_fe_units),aluminum_other,method,Other extraction (unlikely to be Oxalate nor Dithionate) with (likely) elemental analyizer,metadata,alpha,
ISCN3,layer,al_fe_units (extract_units),aluminum_other,unit,--,metadata,alpha,"testing out how control vocabularies are used, this might break"
ISCN3,layer,al_fe_method,aluminum_other,method,--,metadata,alpha,
ISCN3,layer,fe_dith (specified by al_fe_units),iron_dithionate,description,Dithionate extractable [Fe],metadata,alpha,
ISCN3,layer,fe_dith (specified by al_fe_units),iron_dithionate,value,--,metadata,alpha,
ISCN3,layer,fe_dith (specified by al_fe_units),iron_dithionate,method,Dithionate with (likely) elemental analyizer,metadata,alpha,
ISCN3,layer,al_fe_units (extract_units),iron_dithionate,unit,--,metadata,alpha,"testing out how control vocabularies are used, this might break"
ISCN3,layer,al_fe_method,iron_dithionate,method,--,metadata,alpha,
ISCN3,layer,fe_ox (specified by al_fe_units),iron_oxalate,description,Oxalate extractable [Fe],metadata,alpha,
ISCN3,layer,fe_ox (specified by al_fe_units),iron_oxalate,value,--,metadata,alpha,
ISCN3,layer,fe_ox (specified by al_fe_units),iron_oxalate,method,Oxalate with (likely) elemental analyizer,metadata,alpha,
ISCN3,layer,al_fe_units (extract_units),iron_oxalate,unit,--,metadata,alpha,"testing out how control vocabularies are used, this might break"
ISCN3,layer,al_fe_method,iron_oxalate,method,--,metadata,alpha,
ISCN3,layer,fe_other (specified by al_fe_units),iron_other,description,Other extractable [Fe],metadata,alpha,
ISCN3,layer,fe_other (specified by al_fe_units),iron_other,value,--,metadata,alpha,
ISCN3,layer,fe_other (specified by al_fe_units),iron_other,method,Other extraction (unlikely to be Oxalate nor Dithionate) with (likely) elemental analyizer,metadata,alpha,
ISCN3,layer,al_fe_units (extract_units),iron_other,unit,--,metadata,alpha,"testing out how control vocabularies are used, this might break"
ISCN3,layer,al_fe_method,iron_other,method,--,metadata,alpha,
ISCN3,layer,mn_dith (specified by al_fe_units),manganese_dithionate,description,Dithionate extractable [Mn],metadata,alpha,
ISCN3,layer,mn_dith (specified by al_fe_units),manganese_dithionate,value,--,metadata,alpha,
ISCN3,layer,mn_dith (specified by al_fe_units),manganese_dithionate,method,Dithionate with (likely) elemental analyizer,metadata,alpha,
ISCN3,layer,al_fe_units (extract_units),manganese_dithionate,unit,--,metadata,alpha,"testing out how control vocabularies are used, this might break"
ISCN3,layer,al_fe_method,manganese_dithionate,method,--,metadata,alpha,
ISCN3,layer,mn_ox (specified by al_fe_units),manganese_oxalate,description,Oxalate extractable [Mn],metadata,alpha,
ISCN3,layer,mn_ox (specified by al_fe_units),manganese_oxalate,value,--,metadata,alpha,
ISCN3,layer,mn_ox (specified by al_fe_units),manganese_oxalate,method,Oxalate with (likely) elemental analyizer,metadata,alpha,
ISCN3,layer,al_fe_units (extract_units),manganese_oxalate,unit,--,metadata,alpha,"testing out how control vocabularies are used, this might break"
ISCN3,layer,al_fe_method,manganese_oxalate,method,--,metadata,alpha,
ISCN3,layer,mn_other (specified by al_fe_units),manganese_other,description,Other extractable [Mn],metadata,alpha,
ISCN3,layer,mn_other (specified by al_fe_units),manganese_other,value,--,metadata,alpha,
ISCN3,layer,mn_other (specified by al_fe_units),manganese_other,method,Other extraction (unlikely to be Oxalate nor Dithionate) with (likely) elemental analyizer,metadata,alpha,
ISCN3,layer,al_fe_units (extract_units),manganese_other,unit,--,metadata,alpha,"testing out how control vocabularies are used, this might break"
ISCN3,layer,al_fe_method,manganese_other,method,--,metadata,alpha,
ISCN3,layer,ca_al (specified by bc_units),calcium_to_aluminum,description,Ca:Al (molar),metadata,alpha,
ISCN3,layer,ca_al (specified by bc_units),calcium_to_aluminum,value,--,metadata,alpha,
ISCN3,layer,ca_al (specified by bc_units),calcium_to_aluminum,unit,molar ratio,metadata,alpha,Think about if we need the units colum associated here
ISCN3,layer,ca_ext (specified by bc_units),calcium_extractable,description,Extractable [Ca],metadata,alpha,
ISCN3,layer,ca_ext (specified by bc_units),calcium_extractable,value,--,metadata,alpha,
ISCN3,layer,bc_units (extract_units),calcium_extractable,unit,--,metadata,alpha,
ISCN3,layer,bc_method,calcium_extractable,method,--,metadata,alpha,
ISCN3,layer,k_ext (specified by bc_units),potassium_extractable,description,Extractable [K],metadata,alpha,
ISCN3,layer,k_ext (specified by bc_units),potassium_extractable,value,--,metadata,alpha,
ISCN3,layer,bc_units (extract_units),potassium_extractable,unit,--,metadata,alpha,
ISCN3,layer,bc_method,potassium_extractable,method,--,metadata,alpha,
ISCN3,layer,mg_ext (specified by bc_units),magnesium_extractable,description,Extractable [Mg],metadata,alpha,
ISCN3,layer,mg_ext (specified by bc_units),magnesium_extractable,value,--,metadata,alpha,
ISCN3,layer,bc_units (extract_units),magnesium_extractable,unit,--,metadata,alpha,
ISCN3,layer,bc_method,magnesium_extractable,method,--,metadata,alpha,
ISCN3,layer,na_ext (specified by bc_units),sodium_extractable,description,Extractable [Na],metadata,alpha,
ISCN3,layer,na_ext (specified by bc_units),sodium_extractable,value,--,metadata,alpha,
ISCN3,layer,bc_units (extract_units),base_cation,unit,--,metadata,alpha,
ISCN3,layer,bc_method,base_cation,method,--,metadata,alpha,
ISCN3,layer,base_sum (specified by cec_h_units),base_sum,description,"CEC, sum of bases",metadata,per-alpha,Check to see if we can get a better description of these valiables
ISCN3,layer,base_sum (specified by cec_h_units),base_sum,value,--,metadata,per-alpha,Check to see if we can get a better description of these valiables
ISCN3,layer,cec_h_units (extract_units),base_sum,unit,--,metadata,per-alpha,Check to see if we can get a better description of these valiables
ISCN3,layer,cec_sum (specified by cec_h_units),cation_sum,description,"CEC, sum of cations",metadata,per-alpha,Check to see if we can get a better description of these valiables
ISCN3,layer,cec_sum (specified by cec_h_units),cation_sum,value,--,metadata,per-alpha,Check to see if we can get a better description of these valiables
